Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Toboali, Bangka Selatan, Bangka Belitung, 446
Tukak Sadai, Bangka Selatan, Bangka Belitung, 447
Koba, Bangka Tengah, Bangka Belitung, 448
Lubuk Besar, Bangka Tengah, Bangka Belitung, 449
Namang, Bangka Tengah, Bangka Belitung, 450
Pangkalan Baru, Bangka Tengah, Bangka Belitung, 451
Simpang Katis, Bangka Tengah, Bangka Belitung, 452
Sungai Selan, Bangka Tengah, Bangka Belitung, 453
Arosbaya, Bangkalan, Jawa Timur, 454
Bangkalan, Bangkalan, Jawa Timur, 455
Blega, Bangkalan, Jawa Timur, 456
Burneh, Bangkalan, Jawa Timur, 457
Galis, Bangkalan, Jawa Timur, 458
Geger, Bangkalan, Jawa Timur, 459
Kamal, Bangkalan, Jawa Timur, 460
Klampis, Bangkalan, Jawa Timur, 461
Kokop, Bangkalan, Jawa Timur, 462
Konang, Bangkalan, Jawa Timur, 463
Kwanyar, Bangkalan, Jawa Timur, 464
Labang, Bangkalan, Jawa Timur, 465
Modung, Bangkalan, Jawa Timur, 466
Sepulu, Bangkalan, Jawa Timur, 467
Socah, Bangkalan, Jawa Timur, 468
Tanah Merah, Bangkalan, Jawa Timur, 469
Tanjungbumi, Bangkalan, Jawa Timur, 470
Tragah, Bangkalan, Jawa Timur, 471
Bangli, Bangli, Bali, 472
Kintamani, Bangli, Bali, 473
Susut, Bangli, Bali, 474
Tembuku, Bangli, Bali, 475
Aluh-Aluh, Banjar, Kalimantan Selatan, 476
Aranio, Banjar, Kalimantan Selatan, 477
Astambul, Banjar, Kalimantan Selatan, 478
Beruntung Baru, Banjar, Kalimantan Selatan, 479
Gambut, Banjar, Kalimantan Selatan, 480
Karang Intan, Banjar, Kalimantan Selatan, 481
Kertak Hanyar, Banjar, Kalimantan Selatan, 482
Martapura Barat, Banjar, Kalimantan Selatan, 483
Martapura Kota, Banjar, Kalimantan Selatan, 484
Martapura Timur, Banjar, Kalimantan Selatan, 485
Mataraman, Banjar, Kalimantan Selatan, 486
Pengaron, Banjar, Kalimantan Selatan, 487
Peramasan, Banjar, Kalimantan Selatan, 488
Sambung Makmur, Banjar, Kalimantan Selatan, 489
Sei/Sungai Pinang, Banjar, Kalimantan Selatan, 490
Sei/Sungai Tabuk, Banjar, Kalimantan Selatan, 491
Simpang Empat, Banjar, Kalimantan Selatan, 492
Tatah Makmur, Banjar, Kalimantan Selatan, 493
Telaga Bauntung, Banjar, Kalimantan Selatan, 494
Banjar, Banjar, Jawa Barat, 495
Langensari, Banjar, Jawa Barat, 496
Pataruman, Banjar, Jawa Barat, 497
Purwaharja, Banjar, Jawa Barat, 498
Banjar Baru Selatan, Banjarbaru, Kalimantan Selatan, 499
Banjar Baru Utara, Banjarbaru, Kalimantan Selatan, 500
Cempaka, Banjarbaru, Kalimantan Selatan, 501
Landasan Ulin, Banjarbaru, Kalimantan Selatan, 502
Liang Anggang, Banjarbaru, Kalimantan Selatan, 503
Banjarmasin Barat, Banjarmasin, Kalimantan Selatan, 504
Banjarmasin Selatan, Banjarmasin, Kalimantan Selatan, 505
Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, 506
Banjarmasin Timur, Banjarmasin, Kalimantan Selatan, 507
Banjarmasin Utara, Banjarmasin, Kalimantan Selatan, 508
Banjarmangu, Banjarnegara, Jawa Tengah, 509
Banjarnegara, Banjarnegara, Jawa Tengah, 510
Batur, Banjarnegara, Jawa Tengah, 511
Bawang, Banjarnegara, Jawa Tengah, 512
Kalibening, Banjarnegara, Jawa Tengah, 513
Karangkobar, Banjarnegara, Jawa Tengah, 514
Madukara, Banjarnegara, Jawa Tengah, 515
Mandiraja, Banjarnegara, Jawa Tengah, 516
Pagedongan, Banjarnegara, Jawa Tengah, 517
Pagentan, Banjarnegara, Jawa Tengah, 518
Pandanarum, Banjarnegara, Jawa Tengah, 519
Pejawaran, Banjarnegara, Jawa Tengah, 520
Punggelan, Banjarnegara, Jawa Tengah, 521
Purwonegoro, Banjarnegara, Jawa Tengah, 522
Purworejo Klampok, Banjarnegara, Jawa Tengah, 523
Rakit, Banjarnegara, Jawa Tengah, 524
Sigaluh, Banjarnegara, Jawa Tengah, 525
Susukan, Banjarnegara, Jawa Tengah, 526
Wanadadi (Wonodadi), Banjarnegara, Jawa Tengah, 527
Wanayasa, Banjarnegara, Jawa Tengah, 528
Bantaeng, Bantaeng, Sulawesi Selatan, 529
Bissappu, Bantaeng, Sulawesi Selatan, 530
Eremerasa, Bantaeng, Sulawesi Selatan, 531
Gantarang Keke (Gantareng Keke), Bantaeng, Sulawesi Selatan, 532
Pajukukang, Bantaeng, Sulawesi Selatan, 533
Sinoa, Bantaeng, Sulawesi Selatan, 534
Tompobulu, Bantaeng, Sulawesi Selatan, 535
Uluere, Bantaeng, Sulawesi Selatan, 536
Bambang Lipuro, Bantul, DI Yogyakarta, 537
Banguntapan, Bantul, DI Yogyakarta, 538
Bantul, Bantul, DI Yogyakarta, 539
Dlingo, Bantul, DI Yogyakarta, 540
Imogiri, Bantul, DI Yogyakarta, 541
Jetis, Bantul, DI Yogyakarta, 542
Kasihan, Bantul, DI Yogyakarta, 543
Kretek, Bantul, DI Yogyakarta, 544
Pajangan, Bantul, DI Yogyakarta, 545
Pandak, Bantul, DI Yogyakarta, 546
Piyungan, Bantul, DI Yogyakarta, 547
Pleret, Bantul, DI Yogyakarta, 548
Pundong, Bantul, DI Yogyakarta, 549
Sanden, Bantul, DI Yogyakarta, 550
Sedayu, Bantul, DI Yogyakarta, 551
Sewon, Bantul, DI Yogyakarta, 552
Srandakan, Bantul, DI Yogyakarta, 553
Air Kumbang, Banyuasin, Sumatera Selatan, 554
Air Salek, Banyuasin, Sumatera Selatan, 555
Banyuasin I, Banyuasin, Sumatera Selatan, 556
Banyuasin II, Banyuasin, Sumatera Selatan, 557
Banyuasin III, Banyuasin, Sumatera Selatan, 558
Betung, Banyuasin, Sumatera Selatan, 559
Makarti Jaya, Banyuasin, Sumatera Selatan, 560
Muara Padang, Banyuasin, Sumatera Selatan, 561
Muara Sugihan, Banyuasin, Sumatera Selatan, 562
Muara Telang, Banyuasin, Sumatera Selatan, 563
Pulau Rimau, Banyuasin, Sumatera Selatan, 564
Rambutan, Banyuasin, Sumatera Selatan, 565
Rantau Bayur, Banyuasin, Sumatera Selatan, 566
Sembawa, Banyuasin, Sumatera Selatan, 567
Suak Tapeh, Banyuasin, Sumatera Selatan, 568
Sumber Marga Telang, Banyuasin, Sumatera Selatan, 569
Talang Kelapa, Banyuasin, Sumatera Selatan, 570
Tanjung Lago, Banyuasin, Sumatera Selatan, 571
Tungkal Ilir, Banyuasin, Sumatera Selatan, 572
Ajibarang, Banyumas, Jawa Tengah, 573
Banyumas, Banyumas, Jawa Tengah, 574
Baturaden, Banyumas, Jawa Tengah, 575
Cilongok, Banyumas, Jawa Tengah, 576
Gumelar, Banyumas, Jawa Tengah, 577
Jatilawang, Banyumas, Jawa Tengah, 578
Kalibagor, Banyumas, Jawa Tengah, 579
Karanglewas, Banyumas, Jawa Tengah, 580
Kebasen, Banyumas, Jawa Tengah, 581
Kedung Banteng, Banyumas, Jawa Tengah, 582
Kembaran, Banyumas, Jawa Tengah, 583
Kemranjen, Banyumas, Jawa Tengah, 584
Lumbir, Banyumas, Jawa Tengah, 585
Patikraja, Banyumas, Jawa Tengah, 586
Pekuncen, Banyumas, Jawa Tengah, 587
Purwojati, Banyumas, Jawa Tengah, 588
Purwokerto Barat, Banyumas, Jawa Tengah, 589
Purwokerto Selatan, Banyumas, Jawa Tengah, 590
Purwokerto Timur, Banyumas, Jawa Tengah, 591
Purwokerto Utara, Banyumas, Jawa Tengah, 592
Rawalo, Banyumas, Jawa Tengah, 593
Sokaraja, Banyumas, Jawa Tengah, 594
Somagede, Banyumas, Jawa Tengah, 595
Sumbang, Banyumas, Jawa Tengah, 596
Sumpiuh, Banyumas, Jawa Tengah, 597
Tambak, Banyumas, Jawa Tengah, 598
Wangon, Banyumas, Jawa Tengah, 599
Bangorejo, Banyuwangi, Jawa Timur, 600
Banyuwangi, Banyuwangi, Jawa Timur, 601
Cluring, Banyuwangi, Jawa Timur, 602
Gambiran, Banyuwangi, Jawa Timur, 603
Genteng, Banyuwangi, Jawa Timur, 604
Giri, Banyuwangi, Jawa Timur, 605
Glagah, Banyuwangi, Jawa Timur, 606
Glenmore, Banyuwangi, Jawa Timur, 607
Kabat, Banyuwangi, Jawa Timur, 608
Kalibaru, Banyuwangi, Jawa Timur, 609
Kalipuro, Banyuwangi, Jawa Timur, 610
Licin, Banyuwangi, Jawa Timur, 611
Muncar, Banyuwangi, Jawa Timur, 612
Pesanggaran, Banyuwangi, Jawa Timur, 613
Purwoharjo, Banyuwangi, Jawa Timur, 614
Rogojampi, Banyuwangi, Jawa Timur, 615
Sempu, Banyuwangi, Jawa Timur, 616
Siliragung, Banyuwangi, Jawa Timur, 617
Singojuruh, Banyuwangi, Jawa Timur, 618
Songgon, Banyuwangi, Jawa Timur, 619
Srono, Banyuwangi, Jawa Timur, 620
Tegaldlimo, Banyuwangi, Jawa Timur, 621
Tegalsari, Banyuwangi, Jawa Timur, 622
Wongsorejo, Banyuwangi, Jawa Timur, 623
Alalak, Barito Kuala, Kalimantan Selatan, 624
Anjir Muara, Barito Kuala, Kalimantan Selatan, 625
Anjir Pasar, Barito Kuala, Kalimantan Selatan, 626
Bakumpai, Barito Kuala, Kalimantan Selatan, 627
Barambai, Barito Kuala, Kalimantan Selatan, 628
Belawang, Barito Kuala, Kalimantan Selatan, 629
Cerbon, Barito Kuala, Kalimantan Selatan, 630
Jejangkit, Barito Kuala, Kalimantan Selatan, 631
Kuripan, Barito Kuala, Kalimantan Selatan, 632
Mandastana, Barito Kuala, Kalimantan Selatan, 633
Marabahan, Barito Kuala, Kalimantan Selatan, 634
Mekar Sari, Barito Kuala, Kalimantan Selatan, 635
Rantau Badauh, Barito Kuala, Kalimantan Selatan, 636
Tabukan, Barito Kuala, Kalimantan Selatan, 637
Tabunganen, Barito Kuala, Kalimantan Selatan, 638
Tamban, Barito Kuala, Kalimantan Selatan, 639
Wanaraya, Barito Kuala, Kalimantan Selatan, 640
Dusun Hilir, Barito Selatan, Kalimantan Tengah, 641
Dusun Selatan, Barito Selatan, Kalimantan Tengah, 642
Dusun Utara, Barito Selatan, Kalimantan Tengah, 643
Gunung Bintang Awai, Barito Selatan, Kalimantan Tengah, 644
Jenamas, Barito Selatan, Kalimantan Tengah, 645
Karau Kuala, Barito Selatan, Kalimantan Tengah, 646
Awang, Barito Timur, Kalimantan Tengah, 647
Benua Lima, Barito Timur, Kalimantan Tengah, 648
Dusun Tengah, Barito Timur, Kalimantan Tengah, 649
Dusun Timur, Barito Timur, Kalimantan Tengah, 650
Karusen Janang, Barito Timur, Kalimantan Tengah, 651
Paju Epat, Barito Timur, Kalimantan Tengah, 652
Paku, Barito Timur, Kalimantan Tengah, 653
Patangkep Tutui, Barito Timur, Kalimantan Tengah, 654
Pematang Karau, Barito Timur, Kalimantan Tengah, 655
Raren Batuah, Barito Timur, Kalimantan Tengah, 656
Gunung Purei, Barito Utara, Kalimantan Tengah, 657
Gunung Timang, Barito Utara, Kalimantan Tengah, 658
Lahei, Barito Utara, Kalimantan Tengah, 659
Lahei Barat, Barito Utara, Kalimantan Tengah, 660
Montallat (Montalat), Barito Utara, Kalimantan Tengah, 661
Teweh Baru, Barito Utara, Kalimantan Tengah, 662
Teweh Selatan, Barito Utara, Kalimantan Tengah, 663
Teweh Tengah, Barito Utara, Kalimantan Tengah, 664
Teweh Timur, Barito Utara, Kalimantan Tengah, 665
Balusu, Barru, Sulawesi Selatan, 666
Barru, Barru, Sulawesi Selatan, 667
Mallusetasi, Barru, Sulawesi Selatan, 668
Pujananting, Barru, Sulawesi Selatan, 669
Soppeng Riaja, Barru, Sulawesi Selatan, 670
Tanete Riaja, Barru, Sulawesi Selatan, 671
Tanete Rilau, Barru, Sulawesi Selatan, 672
Batam Kota, Batam, Kepulauan Riau, 673
Batu Aji, Batam, Kepulauan Riau, 674
Batu Ampar, Batam, Kepulauan Riau, 675
Belakang Padang, Batam, Kepulauan Riau, 676
Bengkong, Batam, Kepulauan Riau, 677
Bulang, Batam, Kepulauan Riau, 678
Galang, Batam, Kepulauan Riau, 679
Lubuk Baja, Batam, Kepulauan Riau, 680
Nongsa, Batam, Kepulauan Riau, 681
Sagulung, Batam, Kepulauan Riau, 682
Sei/Sungai Beduk, Batam, Kepulauan Riau, 683
Sekupang, Batam, Kepulauan Riau, 684
Bandar, Batang, Jawa Tengah, 685
Banyuputih, Batang, Jawa Tengah, 686
Batang, Batang, Jawa Tengah, 687
Bawang, Batang, Jawa Tengah, 688
Blado, Batang, Jawa Tengah, 689
Gringsing, Batang, Jawa Tengah, 690
Kandeman, Batang, Jawa Tengah, 691
Limpung, Batang, Jawa Tengah, 692
Pecalungan, Batang, Jawa Tengah, 693
Reban, Batang, Jawa Tengah, 694
Subah, Batang, Jawa Tengah, 695
Tersono, Batang, Jawa Tengah, 696
Tulis, Batang, Jawa Tengah, 697
Warungasem, Batang, Jawa Tengah, 698
Wonotunggal, Batang, Jawa Tengah, 699
Bajubang, Batang Hari, Jambi, 700
Batin XXIV, Batang Hari, Jambi, 701
Maro Sebo Ilir, Batang Hari, Jambi, 702
Maro Sebo Ulu, Batang Hari, Jambi, 703
Mersam, Batang Hari, Jambi, 704
Muara Bulian, Batang Hari, Jambi, 705
Muara Tembesi, Batang Hari, Jambi, 706
Pemayung, Batang Hari, Jambi, 707
Batu, Batu, Jawa Timur, 708
Bumiaji, Batu, Jawa Timur, 709
Junrejo, Batu, Jawa Timur, 710
Air Putih, Batu Bara, Sumatera Utara, 711
Limapuluh, Batu Bara, Sumatera Utara, 712
Medang Deras, Batu Bara, Sumatera Utara, 713
Sei Balai, Batu Bara, Sumatera Utara, 714
Sei Suka, Batu Bara, Sumatera Utara, 715
Talawi, Batu Bara, Sumatera Utara, 716
Tanjung Tiram, Batu Bara, Sumatera Utara, 717
Batupoaro, Bau-Bau, Sulawesi Tenggara, 718
Betoambari, Bau-Bau, Sulawesi Tenggara, 719
Bungi, Bau-Bau, Sulawesi Tenggara, 720
Kokalukuna, Bau-Bau, Sulawesi Tenggara, 721
Lea-Lea, Bau-Bau, Sulawesi Tenggara, 722
Murhum, Bau-Bau, Sulawesi Tenggara, 723
Sora Walio (Sorowalio), Bau-Bau, Sulawesi Tenggara, 724
Wolio, Bau-Bau, Sulawesi Tenggara, 725
Babelan, Bekasi, Jawa Barat, 726
Bojongmangu, Bekasi, Jawa Barat, 727
Cabangbungin, Bekasi, Jawa Barat, 728
Cibarusah, Bekasi, Jawa Barat, 729
Cibitung, Bekasi, Jawa Barat, 730
Cikarang Barat, Bekasi, Jawa Barat, 731
Cikarang Pusat, Bekasi, Jawa Barat, 732
Cikarang Selatan, Bekasi, Jawa Barat, 733
Cikarang Timur, Bekasi, Jawa Barat, 734
Cikarang Utara, Bekasi, Jawa Barat, 735
Karangbahagia, Bekasi, Jawa Barat, 736
Kedung Waringin, Bekasi, Jawa Barat, 737
Muara Gembong, Bekasi, Jawa Barat, 738
Pebayuran, Bekasi, Jawa Barat, 739
Serang Baru, Bekasi, Jawa Barat, 740
Setu, Bekasi, Jawa Barat, 741
Sukakarya, Bekasi, Jawa Barat, 742
Sukatani, Bekasi, Jawa Barat, 743
Sukawangi, Bekasi, Jawa Barat, 744
Tambelang, Bekasi, Jawa Barat, 745
Tambun Selatan, Bekasi, Jawa Barat, 746
Tambun Utara, Bekasi, Jawa Barat, 747
Tarumajaya, Bekasi, Jawa Barat, 748
Bantar Gebang, Bekasi, Jawa Barat, 749
Bekasi Barat, Bekasi, Jawa Barat, 750
Bekasi Selatan, Bekasi, Jawa Barat, 751
Bekasi Timur, Bekasi, Jawa Barat, 752
Bekasi Utara, Bekasi, Jawa Barat, 753
Jati Sampurna, Bekasi, Jawa Barat, 754
Jatiasih, Bekasi, Jawa Barat, 755
Medan Satria, Bekasi, Jawa Barat, 756
Mustika Jaya, Bekasi, Jawa Barat, 757
Pondok Gede, Bekasi, Jawa Barat, 758
Pondok Melati, Bekasi, Jawa Barat, 759
Rawalumbu, Bekasi, Jawa Barat, 760
Badau, Belitung, Bangka Belitung, 761
Membalong, Belitung, Bangka Belitung, 762
Selat Nasik, Belitung, Bangka Belitung, 763
Sijuk, Belitung, Bangka Belitung, 764
Tanjung Pandan, Belitung, Bangka Belitung, 765
Damar, Belitung Timur, Bangka Belitung, 766
Dendang, Belitung Timur, Bangka Belitung, 767
Gantung, Belitung Timur, Bangka Belitung, 768
Kelapa Kampit, Belitung Timur, Bangka Belitung, 769
Manggar, Belitung Timur, Bangka Belitung, 770
Simpang Pesak, Belitung Timur, Bangka Belitung, 771
Simpang Renggiang, Belitung Timur, Bangka Belitung, 772
Atambua Barat, Belu, Nusa Tenggara Timur (NTT), 773
Atambua Kota, Belu, Nusa Tenggara Timur (NTT), 774
Atambua Selatan, Belu, Nusa Tenggara Timur (NTT), 775
Botin Leo Bele, Belu, Nusa Tenggara Timur (NTT), 776
Io Kufeu, Belu, Nusa Tenggara Timur (NTT), 777
Kakuluk Mesak, Belu, Nusa Tenggara Timur (NTT), 778
Kobalima, Belu, Nusa Tenggara Timur (NTT), 779
Kobalima Timur, Belu, Nusa Tenggara Timur (NTT), 780
Laen Manen, Belu, Nusa Tenggara Timur (NTT), 781
Lamaknen, Belu, Nusa Tenggara Timur (NTT), 782
Lamaknen Selatan, Belu, Nusa Tenggara Timur (NTT), 783
Lasiolat, Belu, Nusa Tenggara Timur (NTT), 784
Malaka Barat, Belu, Nusa Tenggara Timur (NTT), 785
Malaka Tengah, Belu, Nusa Tenggara Timur (NTT), 786
Malaka Timur, Belu, Nusa Tenggara Timur (NTT), 787
Nanaet Duabesi, Belu, Nusa Tenggara Timur (NTT), 788
Raihat, Belu, Nusa Tenggara Timur (NTT), 789
Raimanuk, Belu, Nusa Tenggara Timur (NTT), 790
Rinhat, Belu, Nusa Tenggara Timur (NTT), 791
Sasitamean, Belu, Nusa Tenggara Timur (NTT), 792
Tasifeto Barat, Belu, Nusa Tenggara Timur (NTT), 793
Tasifeto Timur, Belu, Nusa Tenggara Timur (NTT), 794
Weliman, Belu, Nusa Tenggara Timur (NTT), 795
Wewiku, Belu, Nusa Tenggara Timur (NTT), 796
Bandar, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 797
Bener Kelipah, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 798
Bukit, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 799
Gajah Putih, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 800
Mesidah, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 801
Permata, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 802
Pintu Rime Gayo, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 803
Syiah Utama, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 804
Timang Gajah, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 805
Wih Pesam, Bener Meriah, Nanggroe Aceh Darussalam (NAD), 806
Bantan, Bengkalis, Riau, 807
Bengkalis, Bengkalis, Riau, 808
Bukit Batu, Bengkalis, Riau, 809
Mandau, Bengkalis, Riau, 810
Pinggir, Bengkalis, Riau, 811
Rupat, Bengkalis, Riau, 812
Rupat Utara, Bengkalis, Riau, 813
Siak Kecil, Bengkalis, Riau, 814
Bengkayang, Bengkayang, Kalimantan Barat, 815
Capkala, Bengkayang, Kalimantan Barat, 816
Jagoi Babang, Bengkayang, Kalimantan Barat, 817
Ledo, Bengkayang, Kalimantan Barat, 818
Lembah Bawang, Bengkayang, Kalimantan Barat, 819
Lumar, Bengkayang, Kalimantan Barat, 820
Monterado, Bengkayang, Kalimantan Barat, 821
Samalantan, Bengkayang, Kalimantan Barat, 822
Sanggau Ledo, Bengkayang, Kalimantan Barat, 823
Seluas, Bengkayang, Kalimantan Barat, 824
Siding, Bengkayang, Kalimantan Barat, 825
Sungai Betung, Bengkayang, Kalimantan Barat, 826
Sungai Raya, Bengkayang, Kalimantan Barat, 827
Sungai Raya Kepulauan, Bengkayang, Kalimantan Barat, 828
Suti Semarang, Bengkayang, Kalimantan Barat, 829
Teriak, Bengkayang, Kalimantan Barat, 830
Tujuh Belas, Bengkayang, Kalimantan Barat, 831
Gading Cempaka, Bengkulu, Bengkulu, 832
Kampung Melayu, Bengkulu, Bengkulu, 833
Muara Bangka Hulu, Bengkulu, Bengkulu, 834
Ratu Agung, Bengkulu, Bengkulu, 835
Ratu Samban, Bengkulu, Bengkulu, 836
Selebar, Bengkulu, Bengkulu, 837
Singaran Pati, Bengkulu, Bengkulu, 838
Sungai Serut, Bengkulu, Bengkulu, 839
Teluk Segara, Bengkulu, Bengkulu, 840
Air Nipis, Bengkulu Selatan, Bengkulu, 841
Bunga Mas, Bengkulu Selatan, Bengkulu, 842
Kedurang, Bengkulu Selatan, Bengkulu, 843
Kedurang Ilir, Bengkulu Selatan, Bengkulu, 844
Kota Manna, Bengkulu Selatan, Bengkulu, 845
Manna, Bengkulu Selatan, Bengkulu, 846
Pasar Manna, Bengkulu Selatan, Bengkulu, 847
Pino, Bengkulu Selatan, Bengkulu, 848
Pinoraya, Bengkulu Selatan, Bengkulu, 849
Seginim, Bengkulu Selatan, Bengkulu, 850
Ulu Manna, Bengkulu Selatan, Bengkulu, 851
Bang Haji, Bengkulu Tengah, Bengkulu, 852
Karang Tinggi, Bengkulu Tengah, Bengkulu, 853
Merigi Kelindang, Bengkulu Tengah, Bengkulu, 854
Merigi Sakti, Bengkulu Tengah, Bengkulu, 855
Pagar Jati, Bengkulu Tengah, Bengkulu, 856
Pematang Tiga, Bengkulu Tengah, Bengkulu, 857
Pondok Kelapa, Bengkulu Tengah, Bengkulu, 858
Pondok Kubang, Bengkulu Tengah, Bengkulu, 859
Taba Penanjung, Bengkulu Tengah, Bengkulu, 860
Talang Empat, Bengkulu Tengah, Bengkulu, 861
Air Besi, Bengkulu Utara, Bengkulu, 862
Air Napal, Bengkulu Utara, Bengkulu, 863
Air Padang, Bengkulu Utara, Bengkulu, 864
Arga Makmur, Bengkulu Utara, Bengkulu, 865
Arma Jaya, Bengkulu Utara, Bengkulu, 866
Batik Nau, Bengkulu Utara, Bengkulu, 867
Enggano, Bengkulu Utara, Bengkulu, 868
Giri Mulia, Bengkulu Utara, Bengkulu, 869
Hulu Palik, Bengkulu Utara, Bengkulu, 870
Kerkap, Bengkulu Utara, Bengkulu, 871
Ketahun, Bengkulu Utara, Bengkulu, 872
Lais, Bengkulu Utara, Bengkulu, 873
Napal Putih, Bengkulu Utara, Bengkulu, 874
Padang Jaya, Bengkulu Utara, Bengkulu, 875
Putri Hijau, Bengkulu Utara, Bengkulu, 876
Tanjung Agung Palik, Bengkulu Utara, Bengkulu, 877
Ulok Kupai, Bengkulu Utara, Bengkulu, 878
Batu Putih, Berau, Kalimantan Timur, 879
Biatan, Berau, Kalimantan Timur, 880
Biduk-Biduk, Berau, Kalimantan Timur, 881
Derawan (Pulau Derawan), Berau, Kalimantan Timur, 882
Gunung Tabur, Berau, Kalimantan Timur, 883
Kelay, Berau, Kalimantan Timur, 884
Maratua, Berau, Kalimantan Timur, 885
Sambaliung, Berau, Kalimantan Timur, 886
Segah, Berau, Kalimantan Timur, 887
Tabalar, Berau, Kalimantan Timur, 888
Talisayan, Berau, Kalimantan Timur, 889
Tanjung Redeb, Berau, Kalimantan Timur, 890
Teluk Bayur, Berau, Kalimantan Timur, 891
Aimando Padaido, Biak Numfor, Papua, 892
Andey (Andei), Biak Numfor, Papua, 893
Biak Barat, Biak Numfor, Papua, 894
Biak Kota, Biak Numfor, Papua, 895
Biak Timur, Biak Numfor, Papua, 896
Biak Utara, Biak Numfor, Papua, 897
Bondifuar, Biak Numfor, Papua, 898
Bruyadori, Biak Numfor, Papua, 899
Numfor Barat, Biak Numfor, Papua, 900
Numfor Timur, Biak Numfor, Papua, 901
Oridek, Biak Numfor, Papua, 902
Orkeri, Biak Numfor, Papua, 903
Padaido, Biak Numfor, Papua, 904
Poiru, Biak Numfor, Papua, 905
Samofa, Biak Numfor, Papua, 906
Swandiwe, Biak Numfor, Papua, 907
Warsa, Biak Numfor, Papua, 908
Yawosi, Biak Numfor, Papua, 909
Yendidori, Biak Numfor, Papua, 910
Ambalawi, Bima, Nusa Tenggara Barat (NTB), 911
Belo, Bima, Nusa Tenggara Barat (NTB), 912
Bolo, Bima, Nusa Tenggara Barat (NTB), 913
Donggo, Bima, Nusa Tenggara Barat (NTB), 914
Lambitu, Bima, Nusa Tenggara Barat (NTB), 915
Lambu, Bima, Nusa Tenggara Barat (NTB), 916
Langgudu, Bima, Nusa Tenggara Barat (NTB), 917
Madapangga, Bima, Nusa Tenggara Barat (NTB), 918
Monta, Bima, Nusa Tenggara Barat (NTB), 919
Palibelo, Bima, Nusa Tenggara Barat (NTB), 920
Parado, Bima, Nusa Tenggara Barat (NTB), 921
Sanggar, Bima, Nusa Tenggara Barat (NTB), 922
Sape, Bima, Nusa Tenggara Barat (NTB), 923
Soromandi, Bima, Nusa Tenggara Barat (NTB), 924
Tambora, Bima, Nusa Tenggara Barat (NTB), 925
Wawo, Bima, Nusa Tenggara Barat (NTB), 926
Wera, Bima, Nusa Tenggara Barat (NTB), 927
Woha, Bima, Nusa Tenggara Barat (NTB), 928
Asakota, Bima, Nusa Tenggara Barat (NTB), 929
Mpunda, Bima, Nusa Tenggara Barat (NTB), 930
Raba, Bima, Nusa Tenggara Barat (NTB), 931
Rasanae Barat, Bima, Nusa Tenggara Barat (NTB), 932
Rasanae Timur, Bima, Nusa Tenggara Barat (NTB), 933
Binjai Barat, Binjai, Sumatera Utara, 934
Binjai Kota, Binjai, Sumatera Utara, 935
Binjai Selatan, Binjai, Sumatera Utara, 936
Binjai Timur, Binjai, Sumatera Utara, 937
Binjai Utara, Binjai, Sumatera Utara, 938
Bintan Pesisir, Bintan, Kepulauan Riau, 939
Bintan Timur, Bintan, Kepulauan Riau, 940
Bintan Utara, Bintan, Kepulauan Riau, 941
Gunung Kijang, Bintan, Kepulauan Riau, 942
Mantang, Bintan, Kepulauan Riau, 943
Seri/Sri Kuala Lobam, Bintan, Kepulauan Riau, 944
Tambelan, Bintan, Kepulauan Riau, 945
Teluk Bintan, Bintan, Kepulauan Riau, 946
Teluk Sebong, Bintan, Kepulauan Riau, 947
Toapaya, Bintan, Kepulauan Riau, 948
Ganda Pura, Bireuen, Nanggroe Aceh Darussalam (NAD), 949
Jangka, Bireuen, Nanggroe Aceh Darussalam (NAD), 950
Jeumpa, Bireuen, Nanggroe Aceh Darussalam (NAD), 951
Jeunieb, Bireuen, Nanggroe Aceh Darussalam (NAD), 952
Juli, Bireuen, Nanggroe Aceh Darussalam (NAD), 953
Kota Juang, Bireuen, Nanggroe Aceh Darussalam (NAD), 954
Kuala, Bireuen, Nanggroe Aceh Darussalam (NAD), 955
Kuta Blang, Bireuen, Nanggroe Aceh Darussalam (NAD), 956
Makmur, Bireuen, Nanggroe Aceh Darussalam (NAD), 957
Pandrah, Bireuen, Nanggroe Aceh Darussalam (NAD), 958
Peudada, Bireuen, Nanggroe Aceh Darussalam (NAD), 959
Peulimbang (Plimbang), Bireuen, Nanggroe Aceh Darussalam (NAD), 960
Peusangan, Bireuen, Nanggroe Aceh Darussalam (NAD), 961
Peusangan Selatan, Bireuen, Nanggroe Aceh Darussalam (NAD), 962
Peusangan Siblah Krueng, Bireuen, Nanggroe Aceh Darussalam (NAD), 963
Samalanga, Bireuen, Nanggroe Aceh Darussalam (NAD), 964
